Mud Wt. In (ppg),Mud Wt. Out  (ppg),Temp Out deg °F,Funnel Viscosity ,Fann 600 rpm,Fann 300 rpm,Fann 200 rpm,Fann 100 rpm,Fann 6 rpm,Fann 3 rpm,n,K,API Fluid Loss (ml),Cake mm,Water % ,Retort Solids  % 
8.6,8.6,188,80,63,50,48,37,18,15,0.3,3.2,4,1,96,2
8.7,8.7,122,85,64,51,53,33,19,16,0.3,3.4,3.5,1,96,2
8.8,8.8,122,72,60,40,33,25,12,10,0.6,0.5,3.5,1,97,2
8.8,8.8,122,71,60,40,33,25,12,14,0.6,0.6,0.5,1,96,2
8.8,8.8,122,72,60,40,33,25,12,14,0.6,0.5,3.5,1,96,2
8.8,8.8,122,72,60,40,33,25,12,14,0.6,0.5,3.5,1,96,2
8.8,8.8,122,71,60,40,33,25,12,14,0.6,0.5,3.5,1,96,2
8.8,8.8,122,71,60,40,33,25,12,14,0.6,0.5,3.5,1,96,2
8.8,8.8,122,71,60,40,33,25,12,14,0.6,0.5,3.5,1,96,2
8.8,8.8,122,65,60,40,33,25,12,14,0.6,0.5,3.5,1,96,2
8.8,8.8,122,65,60,40,33,25,12,14,0.6,0.5,3.5,1,96,2
8.8,8.8,122,65,60,40,33,25,12,14,0.6,0.5,3.5,1,96,2
8.6,8.6,110,75,42,32,19,14,11,10,0.6,0.4,6.4,1,98,1
8.6,8.6,110,75,42,32,19,14,11,10,0.6,0.4,6.4,1,98,1
8.6,8.6,110,75,42,32,19,14,11,10,0.6,0.4,6.4,1,98,1
8.6,8.6,105,78,42,32,19,14,11,10,0.6,0.4,6.4,1,98,1
8.6,8.6,105,91,105,83,73,52,17,15,0.6,0.4,8.2,1,98,1
8.6,8.6,105,81,45,35,33,28,26,20,0.6,0.4,5.2,1,98,1
8.6,8.6,98,91,105,83,73,52,17,15,0.6,0.4,8.2,1,98,1
8.6,8.6,98,91,105,83,73,52,17,15,0.6,0.4,8.2,1,98,1
8.6,8.6,98,91,105,83,73,52,17,15,0.6,0.4,8.2,1,98,1
8.6,8.6,98,91,105,83,73,52,17,15,0.6,0.4,8.2,1,98,1
8.6,8.6,98,90,103,81,71,51,16,14,0.6,0.4,8.2,1,98,1
8.6,8.6,98,90,105,81,71,51,16,14,0.6,0.4,8.2,1,98,1
8.6,8.6,98,90,103,81,71,51,16,14,0.6,0.4,8.2,1,98,1
8.6,8.6,98,90,103,81,71,51,16,14,0.6,0.4,8.2,1,98,1
8.6,8.6,98,90,103,81,71,51,16,14,0.6,0.4,8.2,1,98,1
8.6,8.6,98,92,106,83,72,53,17,15,0.6,0.4,8.2,1,98,1
8.6,8.6,98,93,106,83,72,53,17,15,0.6,0.4,8.2,1,98,1
8.6,8.6,98,93,106,83,72,53,17,15,0.6,0.4,8.2,1,98,1
8.6,8.6,98,51,46,36,27,19,9,7,0.6,0.4,12,2,97,2
8.6,8.6,98,51,46,36,27,19,9,7,0.6,0.4,12,2,97,2
8.6,8.6,98,51,46,36,27,19,9,7,0.6,0.4,12,2,97,2
8.6,8.6,98,51,46,36,27,19,9,7,0.6,0.4,12,2,97,2
8.6,8.6,98,51,46,36,27,19,9,7,0.6,0.4,12,2,97,2
8.6,8.6,98,51,46,36,27,19,9,7,0.6,0.4,12,2,97,2
8.6,8.6,98,50,46,36,27,19,9,7,0.6,0.4,12,2,97,2
8.6,8.6,98,72,55,39,33,26,15,14,0.6,0.4,20,2,97,2
8.6,8.6,98,73,55,39,33,26,15,14,0.6,0.4,20,2,97,2
8.7,8.7,100,86,74,54,43,32,16,15,0.3,0.2,15,2,97,2
8.7,8.7,100,86,74,54,43,32,16,15,0.3,0.2,15,2,97,2
8.7,8.7,100,85,45,34,25,20,13,12,0.3,0.2,10,1,97,2
8.8,8.8,100,85,45,34,25,20,13,12,0.3,0.2,10,1,97,2
8.8,8.8,100,85,45,34,25,20,13,12,0.3,0.2,10,1,97,2
8.8,8.8,100,81,54,42,32,26,12,10,0.3,0.2,10,1,97,2
8.8,8.8,100,85,45,34,25,20,13,12,0.3,0.2,10,1,97,2
8.8,8.8,100,81,54,42,32,26,12,10,0.3,0.2,10,1,97,2
8.8,8.8,100,81,54,42,32,26,12,10,0.3,0.2,10,1,97,2
8.8,8.8,100,81,54,42,32,26,12,10,0.3,0.2,10,1,97,2
8.8,8.8,100,81,54,42,32,26,12,10,0.3,0.2,10,1,97,2
8.8,8.8,100,65,48,37,30,25,11,9,0.3,0.2,8.4,1,97,2
8.8,8.8,95,65,48,37,30,25,11,9,0.3,0.2,8.4,1,97,2
8.8,8.8,95,81,54,42,32,27,10,12,0.3,0.2,8.4,1,97,2
9,9.1,95,78,53,41,37,27,14,12,0.3,0.2,8,1,97,2
9,9,98,73,53,41,39,28,14,12,0.6,0.4,8,1,97,2
9,9,98,80,54,42,32,27,12,10,0.6,0.4,7,1,97,2
